id,link,content,date,retweets,favorites,mentions,hashtags,geo
238717783007977473,https://twitter.com/realDonaldTrump/status/238717783007977473,Massive combined inoculations to small children is the cause for big increase in autism....,2012-08-23 21:22:09,848,593,,,
238717892915499008,https://twitter.com/realDonaldTrump/status/238717892915499008,...Spread shots out over long period and watch positive result.,2012-08-23 21:22:35,87,20,,,
238718762877083649,https://twitter.com/realDonaldTrump/status/238718762877083649,@ ArsenioOFFICIAL You have already made plenty because of me. How about a 50/50 cut(just joking) see you soon!,2012-08-23 21:26:02,6,4,@,,
238719440743710720,https://twitter.com/realDonaldTrump/status/238719440743710720,. @ MittRomney will make us energy independent by 2020 http://reut.rs/NmvRlw @ BarackObama will keep wasting money on Solyndra projects.,2012-08-23 21:28:44,201,28,@ @,,
238729483631333377,https://twitter.com/realDonaldTrump/status/238729483631333377,"The opening of # TrumpScotland- an exciting day on perhaps the world's best golf course, watch the video-http://youtu.be/LkbPo8_Qd5Y?hd=1 …",2012-08-23 22:08:38,74,27,,#,
238740394433720320,https://twitter.com/realDonaldTrump/status/238740394433720320,"The independent watchdog who exonerated @ BarackObama for the failed green energy loans just donated $52,500 to Obama's campaign.",2012-08-23 22:52:00,707,81,@,,
238982769622007808,https://twitter.com/realDonaldTrump/status/238982769622007808,A hurricane will be coming to Tampa. My @ RNC convention surprise hits Monday night!,2012-08-24 14:55:07,128,37,@,,
238991498945908736,https://twitter.com/realDonaldTrump/status/238991498945908736,"""When your life flashes before your eyes, make sure you've got plenty to watch."" --Anonymous",2012-08-24 15:29:48,729,207,,,
239001027154681856,https://twitter.com/realDonaldTrump/status/239001027154681856,The Muslim brotherhood is sending tanks into the Sinai & saying it doesn't violate Camp David accord.,2012-08-24 16:07:39,124,17,,,
239001468219301889,https://twitter.com/realDonaldTrump/status/239001468219301889,Egypt's Muslim Brotherhood President is visiting us next month. @ BarackObama is so excited.,2012-08-24 16:09:25,315,131,@,,
239009177790459904,https://twitter.com/realDonaldTrump/status/239009177790459904,I am very surprised that @ lancearmstrong gave up. I never thought he was a quitter...,2012-08-24 16:40:03,199,28,@,,
239009246841290752,https://twitter.com/realDonaldTrump/status/239009246841290752,. @ lancearmstrong should immediately reconsider or his legacy is ruined.,2012-08-24 16:40:19,121,20,@,,
239010719906013184,https://twitter.com/realDonaldTrump/status/239010719906013184,"Dishonest reporters knowingly write lies that I said, “children should not get vaccinated.” I believe fully (cont) http://tl.gd/j0mgs6",2012-08-24 16:46:10,56,10,,,
239038519576772608,https://twitter.com/realDonaldTrump/status/239038519576772608,Former Navy SEAL Questions @ BarackObama's birthplacehttp://huff.to/NNrCl5,2012-08-24 18:36:38,145,50,@,,
239042334849908736,https://twitter.com/realDonaldTrump/status/239042334849908736,"Via @ theblaze: ""Falwell on Trump: He 'was willing to say publicly' what conservatives said 'privately'"" http://bit.ly/MQuXlH",2012-08-24 18:51:48,42,12,@,,
239042816628645888,https://twitter.com/realDonaldTrump/status/239042816628645888,Terrible tragedy at the Empire State Building today. Must have fast trials and death penalty for the animals.,2012-08-24 18:53:43,323,103,,,
239073307947847680,https://twitter.com/realDonaldTrump/status/239073307947847680,". @ BarackObama is bankrupting this country. His budget adds another $4.4T to the debt, putting us over $20T in total debt by 2016.",2012-08-24 20:54:53,326,39,@,,
239074076927348736,https://twitter.com/realDonaldTrump/status/239074076927348736,Disgusting-- @ BarackObama's supporters are launching an anti-Mormon whisper campaign http://bit.ly/NjCFX7 Shameful but no surprise.,2012-08-24 20:57:56,253,51,@,,
239076103187202049,https://twitter.com/realDonaldTrump/status/239076103187202049,I am proud of the Tea Party. These great patriots have accomplished so much in strengthening our country in only 3 short years.,2012-08-24 21:05:59,255,77,,,
239076431487983616,https://twitter.com/realDonaldTrump/status/239076431487983616,Here is a letter I received yesterday from someone who has had personal experience with our health care situation. http://on.fb.me/NP54ju,2012-08-24 21:07:17,41,11,,,
239080264142299136,https://twitter.com/realDonaldTrump/status/239080264142299136,Life brings you many surprises. As a child I used to vacation with my family at the Doral in Miami. Now I own it. http://bit.ly/avJj0B,2012-08-24 21:22:31,338,114,,,
239080652409024512,https://twitter.com/realDonaldTrump/status/239080652409024512,Florida has been very good to me. I am really esxcited to give back at the Sarasota GOP event and @ RNC convention. Will be fun!,2012-08-24 21:24:04,47,14,@,,
239084892816801792,https://twitter.com/realDonaldTrump/status/239084892816801792,". @ DineshDSouza's '2016: Obama's America' is expanding to over 1,000 theaters this weekend. Will be highest grossing documentary in 2012. !!",2012-08-24 21:40:55,460,75,@,,
239088515122614272,https://twitter.com/realDonaldTrump/status/239088515122614272,It's Friday. How many bald eagles did wind turbines kill today? They are an environmental & aesthetic disaster.,2012-08-24 21:55:18,2698,2410,,,
239093871181713408,https://twitter.com/realDonaldTrump/status/239093871181713408,I am sure the @ NCGOP will do a great job bracketing the @ DNC convention. They are a tremendous statewide organization.,2012-08-24 22:16:35,53,12,@ @,,
